Argument ID	Text	Labels
A01006	We should end the use of economic sanctions against sometimes economic sanctions are the only thing that will get the corrupt governments to take action	[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A01007	We should abolish capital punishment against capital punishment is sometimes the only option to keep criminals from committing more crimes.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
A01008	We should ban factory farming against factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]
A01009	We should fight for the abolition of nuclear weapons against nuclear weapons help keep the peace in uncertain times	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A01010	We should prohibit school prayer against it should be allowed if the student wants to pray as long as it is not interfering with his classes	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A01014	We should adopt an austerity regime against adopting austerity regime will have very negative impact on the poor and the vulnerable in society.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A01016	We should adopt gender-neutral language against gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A01018	We should end the use of economic sanctions against economic sanctions provide a non-military sanction to use against countries.	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A02003	We should cancel pride parades against there are parades for every group and it is discrimination not to give gays their parade	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]
A02010	We should legalize cannabis against if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A02014	We should abolish the right to keep and bear arms against we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution.	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]
A02020	We should subsidize Wikipedia against wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A03002	We should legalize prostitution against legalizing prostitution will further demean a woman or man and result in unnecessary violence.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A03004	We should abolish the three-strikes laws against this law keeps communities safe by not letting criminals run rampant with only slaps on the wrist	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A03007	We should adopt gender-neutral language against we should not have to change our language to accommodate those who do not adhere to a specific gender	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A03016	We should abolish the Olympic Games against Olympic Games should not be banned. They are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]
A04001	We should abolish the right to keep and bear arms against we should not abolish the right to bear arms because the law was set forth by our founding fathers, therefore making it an american right.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
A04002	We should subsidize space exploration against there are more important things to spend public funds on such as health care, housing and education.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A04007	We should prohibit school prayer against allowing children to pray and take some quiet time in school can be beneficial for their mental health.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A04010	We should subsidize journalism against there are many sectors need subsidizing more than journalism,  journalists already make good money, more money to them will be a waste.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A04011	We should legalize cannabis against cannabis is highly addictive, studies show up to one-in10 users develop dependence over time	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A04013	We should adopt gender-neutral language against we should not adopt gender neutral language because were created as male and female	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A04016	We should limit executive compensation against executives deserve the money as they do a stressful and demanding job leading large organizations that hire large number of people.	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A04017	We should adopt a zero-tolerance policy in schools against zero telerance policied do not address underlying causes for the behaviour that is causing the issue	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]
A05016	We should stop the development of autonomous cars against the use of autonomous cars should result in a substantial reduction in road traffic accidents which currently are largely a result of human error.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A05027	We should ban whaling against There is little difference between the whaling industry  and our farming industries; humans are entitled to hunt animals to eat them and utilize them to our benefit.	[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05033	We should subsidize embryonic stem cell research against this research is very controversial and against many religions	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]
A05040	We should legalize sex selection against we should not do this because other countries like china already did and it caused an epidemic where there is a huge imbalance of males to females which disrupts the population	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05045	We should subsidize Wikipedia against subsidizing wikipedia can cause it to provide biased information	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]
A05048	We should ban fast food against fast food is sometimes the only way poor people can feed their families cheaply. if you ban it then you are taking away someone's only meal.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A05050	We should introduce compulsory voting against compulsory voting goes against people's liberties and freedoms.	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05052	We should end the use of economic sanctions against economic sanctions can assist in deterring deadly threats against our nation	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05054	We should adopt libertarianism against there are so many people in the world we all have to appreciate that we need to adopt certain rules and etiquette which everyone follows, if everyone pleased themselves no one would help each other.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]
A05057	We should subsidize Wikipedia against subsidizing wikipedia could be a back gateway to some form of governmental control, debasing the validity of the articles and information provided.	[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]
A05058	We should cancel pride parades against pride parades encourage people to claim the rights and freedoms they are entitled to	[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
